CustomerID,JoinDate,TotalSpend,Segment,LastActive,NumOrders,Region
CUST-1001,2025-10-13,41100.92,Basic,2025-12-27,58,North
CUST-1002,2024-09-28,12552.09,Premium,2025-02-12,45,East
CUST-1003,2024-04-20,2502.56,Enterprise,2024-05-20,94,West
CUST-1004,2024-06-19,24704.79,Enterprise,2025-02-15,45,Central
CUST-1005,2025-01-19,41457.47,Standard,2025-04-10,21,West
CUST-1006,2024-03-16,14815.94,Basic,2024-05-02,34,North
CUST-1007,2024-03-16,8588.25,Enterprise,2024-10-07,21,North
CUST-1008,2025-07-14,16963.73,Enterprise,2025-09-29,91,North
CUST-1009,2025-03-17,8333.36,Enterprise,2026-03-16,21,North
CUST-1010,2024-04-13,10356.97,Standard,2024-10-29,53,Central
CUST-1011,2025-07-07,33063.83,Basic,2025-12-19,31,North
CUST-1012,2024-02-20,28631.31,Enterprise,2024-10-08,20,North
CUST-1013,2025-01-04,21437.54,Basic,2025-02-04,85,Central
CUST-1014,2025-05-06,4939.65,Standard,2025-09-15,22,East
CUST-1015,2024-03-24,42204.08,Basic,2024-12-21,51,West
CUST-1016,2025-05-15,4647.73,Enterprise,2025-10-27,24,East
CUST-1017,2025-01-25,9410.49,Premium,2025-09-01,34,West
CUST-1018,2025-04-21,11389.49,Basic,2025-10-02,73,North
CUST-1019,2024-06-03,4376.79,Basic,2024-08-21,70,West
CUST-1020,2025-08-26,27724.74,Enterprise,2026-01-19,67,West
CUST-1021,2025-07-02,28678.44,Standard,2026-04-01,61,East
CUST-1022,2024-03-21,45148.58,Premium,2024-11-08,65,Central
CUST-1023,2025-06-13,33908.99,Standard,2026-05-01,16,West
CUST-1024,2024-06-26,48611.03,Standard,2024-10-19,17,North
CUST-1025,2025-03-09,49415.17,Enterprise,2025-05-18,26,South
CUST-1026,2025-09-01,16055.5,Premium,2026-02-10,12,West
CUST-1027,2025-07-23,27647.5,Basic,2026-03-13,67,West
CUST-1028,2024-01-13,29420.05,Enterprise,2024-12-27,15,West
CUST-1029,2024-06-02,28373.04,Premium,2024-09-15,14,Central
CUST-1030,2024-04-13,43387.02,Basic,2024-10-06,53,East
CUST-1031,2025-01-27,24330.68,Enterprise,2026-01-27,5,South
CUST-1032,2024-10-09,7278.25,Enterprise,2025-06-02,5,West
CUST-1033,2024-12-05,2559.62,Enterprise,2025-05-05,35,East
CUST-1034,2024-01-21,40887.56,Basic,2024-08-10,40,East
