Date,Region,Product,Revenue,Units_Sold,Discount_Pct,Customer_Rating
2024-11-23,North,Widget A,11252.48,63,6.7,3.9
2024-12-12,Central,Widget A,9062.14,9,0.9,1.9
2024-09-15,Central,Widget A,8638.05,184,19.5,3.2
2024-04-22,West,Service Pro,4533.77,2,22.8,1.6
2024-08-04,East,Gadget X,2754.45,196,10.1,1.4
2024-02-19,East,Gadget X,9254.03,12,21.9,3.1
2024-07-12,North,Service Pro,4751.09,161,18.6,4.4
2024-10-22,South,Widget A,1164.45,59,23.2,4.9
2024-04-29,North,Gadget Y,4530.62,163,25.0,1.7
2024-06-30,South,Gadget X,10676.39,175,19.4,3.4
2024-03-28,Central,Widget B,2869.34,98,8.1,4.7
2024-12-18,Central,Widget B,10426.91,197,23.3,1.9
2024-01-17,East,Gadget Y,4382.24,55,27.4,3.3
2024-06-10,South,Gadget Y,6236.66,165,13.8,2.1
2024-05-06,Central,Service Pro,4309.75,150,12.9,3.3
2024-07-04,South,Widget B,7888.13,24,22.7,4.4
2024-03-19,South,Gadget Y,9147.93,99,11.4,5.0
2024-09-27,East,Service Pro,12981.31,3,20.4,1.5
2024-10-01,East,Gadget X,2117.51,112,4.7,1.0
2024-05-14,Central,Widget B,7861.38,28,26.1,2.2
2024-11-23,Central,Service Pro,3384.21,96,22.9,3.2
2024-09-28,North,Service Pro,5200.26,5,3.4,2.5
2024-06-06,South,Widget A,3992.64,146,28.4,1.3
2024-09-05,North,Service Pro,11604.6,33,19.8,4.8
2024-03-25,East,Service Pro,13150.28,109,28.9,4.7
2024-12-19,South,Gadget X,6285.39,172,19.5,2.8
2024-09-21,West,Widget A,4094.63,17,10.1,3.4
2024-04-27,Central,Widget B,604.27,182,18.9,1.9
2024-01-17,East,Widget A,7955.26,72,20.1,1.9
2024-03-08,Central,Service Pro,7353.73,122,24.2,1.8
2024-02-19,West,Gadget X,6641.89,120,25.9,1.2
2024-11-30,North,Widget A,6338.01,87,24.0,1.4
2024-04-08,South,Service Pro,7004.9,109,5.5,2.9
2024-02-08,West,Service Pro,1919.68,167,30.0,4.3
2024-02-17,South,Widget B,6393.0,124,6.4,2.6
2024-01-31,South,Gadget Y,531.25,100,8.0,4.1
2024-08-20,East,Gadget Y,10600.58,188,29.9,3.2
2024-09-06,South,Widget B,4802.26,15,17.4,3.2
2024-06-09,North,Widget A,8970.58,129,27.6,3.1
2024-01-30,Central,Widget A,12844.47,18,17.9,3.7
2024-04-30,West,Widget A,14153.14,146,7.4,3.4
2024-11-13,North,Gadget Y,10031.91,145,15.7,4.7
2024-04-14,East,Widget B,4351.41,34,20.2,2.2
2024-06-10,North,Widget A,7145.14,145,29.9,1.3
2024-04-19,Central,Gadget X,2420.62,90,26.4,4.5
2024-07-08,East,Widget B,6853.68,140,21.1,3.4
2024-11-30,Central,Widget A,10184.02,142,9.0,3.7
2024-03-09,East,Widget A,13400.83,191,16.6,2.1
2024-11-05,South,Gadget X,3452.16,163,25.6,3.0
2024-05-08,North,Widget A,9697.12,71,1.3,2.3
2024-03-07,East,Widget B,11247.85,142,21.2,3.2
2024-02-27,North,Widget B,8411.06,95,17.5,1.6
2024-03-06,North,Gadget X,5787.45,11,27.0,1.8
2024-05-07,North,Gadget X,11811.69,105,29.2,4.0
2024-05-01,South,Widget B,13280.53,7,5.4,4.7
2024-07-29,South,Gadget X,2808.37,180,3.2,4.5
2024-08-28,South,Widget B,12340.51,118,10.5,4.3
2024-04-26,South,Widget A,10070.48,103,9.8,4.5
2024-05-22,East,Service Pro,6295.34,138,9.9,1.1
2024-05-13,South,Service Pro,14456.75,68,1.1,3.4
2024-06-25,East,Gadget Y,9290.03,131,3.5,4.6
2024-04-07,East,Widget A,10777.39,1,15.6,4.2
2024-12-17,South,Gadget X,6753.81,171,27.6,3.5
2024-12-05,North,Gadget X,7853.28,171,12.3,2.6
2024-05-31,Central,Widget B,3281.68,171,28.2,3.7
2024-03-30,Central,Service Pro,4863.77,141,25.0,2.2
2024-04-17,West,Service Pro,9296.59,83,13.9,2.8
2024-04-19,Central,Gadget Y,12009.16,189,5.1,1.3
2024-09-20,Central,Gadget X,1854.11,193,7.0,2.2
2024-04-11,South,Widget A,1170.1,122,18.3,4.1
2024-08-21,West,Service Pro,3319.31,179,11.5,2.6
2024-03-16,North,Widget A,11787.1,57,5.3,4.8
2024-09-22,West,Widget A,8582.38,32,13.7,4.2
2024-12-07,Central,Service Pro,9134.06,194,26.7,3.5
2024-09-15,West,Service Pro,6965.75,41,22.3,2.9
2024-05-12,South,Gadget X,11604.3,134,14.5,2.0
2024-08-13,North,Gadget X,3900.16,86,9.6,3.2
2024-03-11,South,Widget B,6054.01,40,21.2,1.3
2024-07-27,East,Service Pro,7255.9,16,6.2,2.7
2024-10-26,North,Service Pro,6015.52,2,28.3,2.2
2024-07-18,West,Service Pro,11338.98,140,24.0,4.6
2024-09-06,South,Gadget X,6819.62,8,11.7,3.7
2024-07-26,South,Gadget Y,13833.35,160,16.0,4.6
2024-10-30,Central,Widget A,1717.24,110,4.1,2.8
2024-01-26,East,Gadget Y,5246.61,117,9.8,4.0
2024-07-13,East,Gadget Y,4157.94,21,14.1,4.0
2024-01-27,East,Widget B,9927.09,200,28.7,1.2
2024-01-16,South,Widget B,12668.82,160,4.6,1.5
2024-12-08,North,Service Pro,14242.48,120,21.0,4.1
2024-03-26,Central,Service Pro,14474.15,184,3.4,4.3
2024-06-08,North,Service Pro,872.34,80,17.3,4.6
2024-07-11,West,Widget B,1601.95,177,24.9,2.0
2024-12-22,East,Service Pro,12180.16,145,23.5,2.4
2024-08-07,East,Widget A,7836.43,88,0.4,2.7
2024-09-07,North,Gadget Y,14431.42,163,26.7,2.8
2024-03-19,West,Widget B,11140.03,167,8.1,4.2
2024-10-02,West,Gadget Y,6815.83,188,17.8,2.3
2024-05-05,North,Gadget X,13283.65,63,22.5,3.3
2024-12-08,West,Gadget X,916.15,84,5.5,1.8
2024-05-12,East,Gadget X,13264.64,180,26.4,3.2
2024-09-21,South,Widget A,3999.66,105,14.7,4.0
2024-12-19,West,Gadget Y,6998.53,5,2.8,1.9
2024-12-20,South,Gadget X,10127.42,95,14.2,3.1
2024-08-05,Central,Gadget X,5601.25,117,8.1,2.0
2024-03-02,South,Gadget X,2233.54,138,28.5,3.8
2024-04-08,South,Gadget Y,4509.24,151,29.3,3.1
2024-05-24,North,Widget B,4795.57,93,5.4,1.1
2024-09-30,South,Gadget X,1159.98,14,16.6,3.8
2024-03-05,West,Widget A,13154.44,147,8.5,2.9
2024-06-23,South,Widget A,4160.94,123,3.4,1.3
2024-09-08,North,Service Pro,9626.96,14,4.6,4.2
2024-06-04,North,Widget B,2217.55,196,12.5,3.4
2024-11-12,South,Service Pro,6015.48,114,8.9,3.4
2024-08-07,East,Service Pro,9504.9,157,28.8,1.4
2024-04-16,South,Gadget X,10076.21,41,7.2,3.2
2024-03-21,North,Gadget Y,7032.3,153,14.1,1.1
2024-05-27,East,Gadget Y,1532.11,60,27.7,4.2
2024-11-16,Central,Widget B,6664.52,140,6.7,1.6
2024-05-16,South,Widget A,1364.75,79,17.9,4.3
2024-05-27,West,Widget A,7296.12,78,21.0,4.8
2024-09-13,Central,Gadget Y,6847.5,154,1.2,2.7
2024-06-14,Central,Gadget X,875.04,59,28.9,4.3
2024-10-21,Central,Widget A,14993.8,173,24.6,3.3
2024-03-30,West,Service Pro,9946.89,72,5.4,3.3
2024-11-21,West,Widget A,7315.15,105,10.0,3.7
2024-03-23,East,Gadget Y,10558.27,74,19.9,2.6
2024-10-08,North,Gadget Y,1776.87,65,9.7,4.9
2024-07-25,Central,Widget A,10036.08,139,13.9,1.2
2024-09-22,East,Service Pro,11468.43,161,13.3,1.2
2024-05-16,Central,Widget B,13951.26,113,26.4,2.9
2024-01-15,Central,Widget B,10791.85,80,16.5,3.2
2024-02-17,South,Widget A,7190.99,31,19.4,1.6
2024-05-29,Central,Gadget X,6524.61,124,29.4,2.0
2024-10-09,South,Gadget Y,3263.85,154,15.2,4.5
2024-02-05,East,Gadget Y,5428.19,130,8.0,1.0
2024-06-01,Central,Service Pro,14984.08,126,26.0,2.8
