Date,Value,Category
2024-01-01,1000.47,C
2024-01-02,1105.44,C
2024-01-03,1021.62,C
2024-01-04,1244.87,A
2024-01-05,1235.53,C
2024-01-06,1224.59,C
2024-01-07,1226.89,A
2024-01-08,1208.85,B
2024-01-09,1326.46,B
2024-01-10,1225.09,B
2024-01-11,1222.11,B
2024-01-12,1193.3,B
2024-01-13,1171.47,A
2024-01-14,1108.85,B
2024-01-15,1094.36,C
2024-01-16,1013.38,C
2024-01-17,973.88,C
2024-01-18,1007.68,B
2024-01-19,947.34,C
2024-01-20,996.66,C
2024-01-21,959.66,B
2024-01-22,966.82,B
2024-01-23,937.48,B
2024-01-24,859.49,A
2024-01-25,939.42,C
2024-01-26,893.2,A
2024-01-27,1032.92,B
2024-01-28,970.79,C
2024-01-29,1064.28,C
2024-01-30,1183.11,C
2024-01-31,1163.64,C
2024-02-01,1167.14,B
2024-02-02,1244.2,B
2024-02-03,1253.77,B
2024-02-04,1281.44,A
2024-02-05,1371.87,C
2024-02-06,1362.11,A
2024-02-07,1371.33,A
2024-02-08,1412.43,B
2024-02-09,1361.23,A
2024-02-10,1426.13,B
2024-02-11,1391.45,C
2024-02-12,1257.77,C
2024-02-13,1300.78,B
2024-02-14,1295.23,C
2024-02-15,1235.72,A
2024-02-16,1300.7,C
2024-02-17,1162.91,B
2024-02-18,1207.5,B
2024-02-19,1055.3,C
2024-02-20,1136.1,B
2024-02-21,1088.57,B
2024-02-22,1065.85,C
2024-02-23,1049.43,B
2024-02-24,999.73,B
2024-02-25,1087.03,A
2024-02-26,1250.9,A
2024-02-27,1124.07,A
2024-02-28,1199.08,A
2024-02-29,1192.58,A
2024-03-01,1262.69,C
2024-03-02,1340.39,A
2024-03-03,1331.7,C
2024-03-04,1409.62,A
2024-03-05,1475.32,C
2024-03-06,1433.0,B
2024-03-07,1504.71,A
2024-03-08,1483.46,A
2024-03-09,1555.56,C
2024-03-10,1474.26,B
2024-03-11,1489.3,C
2024-03-12,1451.99,B
2024-03-13,1576.16,C
2024-03-14,1402.58,B
2024-03-15,1440.52,C
2024-03-16,1332.33,B
2024-03-17,1358.77,A
2024-03-18,1264.42,C
2024-03-19,1225.94,C
2024-03-20,1232.66,C
2024-03-21,1223.51,B
2024-03-22,1342.44,B
2024-03-23,1224.38,B
2024-03-24,1216.11,C
2024-03-25,1256.58,B
2024-03-26,1254.55,A
2024-03-27,1270.36,B
2024-03-28,1351.1,A
2024-03-29,1374.81,B
2024-03-30,1284.7,C
2024-03-31,1385.14,C
2024-04-01,1491.98,A
2024-04-02,1587.42,A
2024-04-03,1613.57,A
2024-04-04,1608.76,A
2024-04-05,1752.71,A
2024-04-06,1668.55,C
2024-04-07,1726.13,B
2024-04-08,1657.14,A
2024-04-09,1670.49,C
2024-04-10,1647.25,B
2024-04-11,1704.82,C
2024-04-12,1600.54,A
2024-04-13,1507.86,C
2024-04-14,1552.94,C
2024-04-15,1514.24,B
2024-04-16,1503.36,B
2024-04-17,1461.68,B
2024-04-18,1461.3,A
2024-04-19,1359.79,A
2024-04-20,1375.38,A
2024-04-21,1267.49,C
2024-04-22,1369.51,B
2024-04-23,1317.73,C
2024-04-24,1440.02,A
2024-04-25,1417.74,B
2024-04-26,1396.06,A
2024-04-27,1466.91,C
2024-04-28,1502.88,B
2024-04-29,1503.8,C
2024-04-30,1580.66,B
2024-05-01,1636.69,B
2024-05-02,1697.76,B
2024-05-03,1704.99,A
2024-05-04,1686.88,C
2024-05-05,1810.7,B
2024-05-06,1816.24,B
2024-05-07,1884.16,C
2024-05-08,1857.28,C
2024-05-09,1854.87,A
2024-05-10,1750.74,A
2024-05-11,1809.17,C
2024-05-12,1716.71,A
2024-05-13,1692.03,A
2024-05-14,1789.55,B
2024-05-15,1712.68,C
2024-05-16,1657.67,C
2024-05-17,1593.71,B
2024-05-18,1531.41,B
2024-05-19,1567.75,B
2024-05-20,1517.6,B
2024-05-21,1508.63,A
2024-05-22,1580.09,B
2024-05-23,1510.73,C
2024-05-24,1539.01,A
2024-05-25,1563.81,A
2024-05-26,1569.87,C
2024-05-27,1590.69,A
2024-05-28,1671.39,C
2024-05-29,1714.28,A
2024-05-30,1812.87,A
2024-05-31,1728.57,B
2024-06-01,1832.95,B
2024-06-02,1859.77,B
2024-06-03,1952.52,C
2024-06-04,1953.08,A
2024-06-05,1987.63,B
2024-06-06,2042.22,C
2024-06-07,1908.46,A
2024-06-08,1993.82,C
2024-06-09,1970.16,C
2024-06-10,1944.49,C
2024-06-11,1889.7,A
2024-06-12,1889.91,B
2024-06-13,1885.12,B
2024-06-14,1898.54,A
2024-06-15,1670.83,A
2024-06-16,1779.97,B
2024-06-17,1683.08,C
2024-06-18,1634.02,B
